"" "T cells CD8" "Monocytes" "T cells CD4" "NKT cells" "B cells" "NK cells"
"AAK1" 0.397494062511241 0.0571909220463678 0.613469964025068 0.451812917605471 -0.09641978855325 0.412261351679613
"ABCA1" -0.0903340839091866 -0.057922476754146 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ABCA2" -0.0330372241886141 -0.0925573203485451 -0.0902265413253799 -0.037055351233206 -0.09641978855325 0.0016770703460796
"ABCA3" -0.09641978855325 -0.0945232472790836 -0.09641978855325 -0.0756628458984557 -0.09641978855325 -0.0657632965796891
"ABCB1" -0.0712123433587706 -0.09641978855325 -0.09641978855325 -0.0718501991399883 -0.09641978855325 -0.00274909929130759
"ABCB4" -0.09641978855325 -0.0940780333385676 -0.09641978855325 -0.09641978855325 -0.0770009323422865 -0.09641978855325
"ABCD2" -0.0766772085846271 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ABCG1" -0.0837403635596317 -0.0808202903685711 -0.09641978855325 -0.09641978855325 -0.0605640540509428 -0.027505714725551
"ABHD15" -0.0419180128847049 -0.0911678422477454 -0.0780795545881358 -0.0734082706637561 -0.0663050656476531 -0.000636664155915737
"ABHD17C" -0.0886565278137437 -0.09641978855325 -0.09641978855325 -0.0756628458984557 -0.0813624271004515 -0.09641978855325
"ABHD8" -0.0735968605909945 -0.0651991916300376 -0.0799575436911 -0.0819048311152616 -0.0784919213020963 0.0375630691191197
"AC002331.1" -0.0623764578951044 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325
"AC002467.7" -0.09641978855325 -0.0867785247263729 -0.0867923291781905 -0.0773571760774435 -0.09641978855325 -0.0444243759193588
"AC004069.2" -0.0901827903893696 -0.085647099729091 -0.0828654185011376 -0.09641978855325 -0.0769683831364351 -0.09641978855325
"AC004893.11" -0.0906347893151285 -0.0920974085766441 -0.09641978855325 -0.0724494574183606 -0.09641978855325 -0.09641978855325
"AC006116.20" -0.0903536038105862 -0.0954389201952884 -0.0890781960287215 -0.0582601217723795 -0.09641978855325 -0.09641978855325
"AC006369.2" -0.0365476221867228 -0.09641978855325 -0.0731233931234996 -0.0531158545597342 -0.09641978855325 -0.0178782446697763
"AC009120.6" -0.0801455015716177 -0.0942411306493064 -0.09641978855325 -0.0697981115366232 -0.09641978855325 -0.09641978855325
"AC009961.3" -0.0799840955500863 -0.09641978855325 -0.088964624431657 -0.09641978855325 -0.09641978855325 -0.09641978855325
"AC010226.4" -0.09641978855325 -0.09641978855325 -0.0897502318806109 -0.09641978855325 -0.0750836817842267 -0.09641978855325
"AC011718.2" -0.0728544603361079 -0.0945520462988741 -0.0863409289388054 -0.0729658881521252 -0.09641978855325 -0.09641978855325
"AC013264.2" -0.0887581348411851 -0.09641978855325 -0.0385046441529487 -0.09641978855325 -0.09641978855325 -0.09641978855325
"AC016757.3" -0.0858586859922464 -0.0886187443959643 -0.09641978855325 -0.0626644709657965 -0.09641978855325 -0.0640452768426953
"AC017002.1" -0.0904782112787173 -0.0950794483383292 -0.090724259657385 -0.0231958110741725 -0.09641978855325 -0.09641978855325
"AC018816.3" -0.0909658740097681 -0.093065566760443 -0.0707408149792041 -0.0798327239704573 -0.09641978855325 -0.09641978855325
"AC020571.3" -0.09641978855325 -0.0885849736420366 -0.0838556742529578 -0.09641978855325 -0.09641978855325 -0.09641978855325
"AC023590.1" -0.0638620447759964 -0.0721539483275914 -0.0305219415491345 -0.0795035998106744 0.00481431637369603 -0.09641978855325
"AC079767.4" -0.09641978855325 -0.0932738000478038 -0.09641978855325 -0.09641978855325 0.231641329005579 -0.09641978855325
"AC092580.4" 0.719387161172053 -0.0833033251495582 0.116079042260285 0.732368244175006 -0.09641978855325 0.261495639927728
"AC092669.3" -0.09641978855325 -0.0946817043563188 -0.0780906567003054 -0.09641978855325 -0.09641978855325 -0.09641978855325
"AC093388.3" -0.09641978855325 -0.09641978855325 -0.0634410842356907 -0.09641978855325 -0.09641978855325 -0.09641978855325
"AC104699.1" -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.0745859061982703 -0.09641978855325
"AC104820.2" -0.0543620305623407 -0.09641978855325 -0.083736304438584 -0.0628043883108777 -0.09641978855325 -0.09641978855325
"AC105760.2" -0.0848501487716038 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325
"AC108004.3" -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.0712024676503326
"AC109826.1" -0.0700667040773487 -0.0954712339177729 -0.0800372621439081 -0.0361295198581666 -0.09641978855325 -0.09641978855325
"AC113189.5" -0.0833735408744183 -0.0929985366733062 -0.0904363515808824 -0.0485123305680248 -0.0745859061982703 -0.09641978855325
"AC131056.3" -0.0885647576388678 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.0525622357502578
"AC142528.1" -0.09641978855325 -0.0898797651729396 -0.075720886429136 -0.09641978855325 -0.0620354671557042 -0.09641978855325
"AC159540.1" -0.0166426942532493 -0.0938567912416109 -0.0832431566502058 -0.09641978855325 -0.0726931304635511 -0.0148320859205003
"ACAT2" -0.0381962839869506 -0.0839199891146521 -0.0384530389541273 0.0336248788704384 -0.0804022475295485 -0.09641978855325
"ACBD4" -0.0805031656799143 -0.0953282069823874 -0.0782391995433504 -0.09641978855325 -0.066898779976115 -0.09641978855325
"ACPP" -0.0890476006186124 -0.0447553221520042 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ACRBP" -0.0786089763930457 0.178921220673742 -0.0819378873990763 -0.054231767425063 -0.062167402273227 -0.09641978855325
"ACSBG1" -0.0883028368325447 -0.0852014609170595 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.0525622357502578
"ACSL1" -0.0584685419075824 0.251578716628834 -0.0925577830981603 -0.0680588997716092 -0.0770009323422865 -0.0656315351528685
"ACSL6" -0.0587694081835683 -0.076471798631194 0.00011911051741255 -0.09641978855325 -0.0470800416498837 -0.0413449528959815
