"" "W070517001156" "W070517001157" "W070517001159" "W070517001160" "W070517001161" "W070517001162" "W070517102034" "W070517102035" "W070517102036" "W070517102037" "W070517102038" "W070517102051"
"AAK1" 33.17759 43.261362 20.434962 60.2473881 26.972982 42.845666 44.5447604 38.29981 34.478269 46.415226 50.2374552 31.92086
"ABCA1" 30.93666 43.76517 36.59801 25.60592 8.69352 16.4077 20.66961 33.78254 17.86441 6.295206 32.95165 43.10627
"ABCA2" 20.5657819076199 21.5805974 20.381515786404 26.0696619058836 23.18408962 24.1350427228027 25.2175374 19.7459029337395 23.1151617810267 26.1454610019637 20.9542009 22.8586181
"ABCA3" 2.034552 2.1688623 1.2148964 3.2085919 2.2964237 2.2355997 2.3603534 2.220287154 2.264492 2.9998714 3.3056148 1.4109807
"ABCB1" 8.98401009765 8.201424017232 7.58685824105 4.458656376325 14.53328596163 12.020760849199 12.3561343586 9.43842600716711 14.504984632885 14.94508747498 10.04109 7.648071725699
"ABCB4" 3.769217602518 4.05287800327723 2.6557657 4.0250191059277 1.87369 3.79058509 6.9708345392 6.906026 5.155808 8.036401011528 6.7796920002755 3.47615684052237
"ABCD2" 2.03742 3.5292 1.32835 5.18758 2.19444 5.10801 6.76162 4.04869 6.36481 6.65981 4.41196 2.01281
"ABCG1" 15.865594 18.102214 13.145235 11.3895411 2.181547 7.9723471 10.918138 14.9423092 6.224086 4.360247 15.7345455 19.83579232
"ABHD15" 0.627208 0.878005 0.814807 1.31149 0.979503 1.0968 0.867942 0.589544 0.829026 0.970479 0.892749 1.16663
"ABHD17C" 0.2845262 0.303058 0.231155 0.359835 0.235237 1.050459 0.502479 0.76832 0.801193 0.6560885 1.240797 0.230032
"ABHD8" 0.627221 0.7057405 0.412676 0.663922 0.2939869 0.650971 0.4038 0.531718 0.35497 0.37427 0.779912 0.610521
"AC002331.1" 0 0 0 0 0 0 0 0 0 0 0 0
"AC002467.7" 0 0 0 0.0428436 0 0.0760371 0 0 0 0.067291 0 0.0631325
"AC004069.2" 0.566402 0.876217 1.16733 1.37723 0.514527 0.44413 0.5537 1.25703 2.10298 0.509127 0.861585 0.975009
"AC004893.11" 0.950172 2.121018 1.613865 1.564137 1.260103 1.154291 1.286597 2.578465 1.446798 2.0320739 2.134062 1.935191
"AC006116.20" 0.032323 0.1258337 0.10437 0 0.0707033 0.0538829 0.158967 0 0 0.0803775 0.3502988 0.120717
"AC006369.2" 0 0 0.244586 0.141154 0.1592 0.355814 0 0 0.200898 0 0.077585 0
"AC009120.6" 1.0288095 0.352754 1.3000009 0.0397451 1.008114 2.135797 1.199972 0.10967 1.5545281 1.1446016 1.7593566 1.708159
"AC009961.3" 0.0571989 0.0965806 0 0.1034495 0.0543902 0.0220365 0.0275012 0.017407 0.0502309 0.0192019 0.0592194 0.112949
"AC010226.4" 0 0 0 0 0 0 0.0881487 0.108802 0.11455 0 0 0.35967
"AC011718.2" 0.004501 0.0324448 0 0 0 0 0 0 0.00635167 0 0 0
"AC013264.2" 0.243461 0 0 0.0949905 0 0 0.240544 0.0973823 0 0 0 0.100592
"AC016757.3" 0 0.0355877 0 0.032988 0 0.0356585 0.107113 0 0.0352866 0 0.02579243 0.0324581
