NAME	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Cluster 6	Cluster 7	Cluster 8
AAAS	5.70013160368491	1	28.3436144247932	11.89680723548	16.2961331375428	9.06191551112544	1	9.95936926040405
AAK1	60.7748335019584	23.8060572888159	162.502494042005	337.975189492897	257.157003764887	87.5191803364735	243.599847612663	1
AARS	8.915462968277	16.653861807708	1	15.9851494728694	1	1	1	1
AARSD1	13.9243494744098	1	1	1	1	1	52.2557662737058	1
AASDH	19.6102573549544	1	25.9797133316132	35.4323158727133	21.3252032520325	1	1	15.1093474426808
ABCA1	1	34.2146811298101	1	1	1	9.06191551112544	1	1
ABCA2	1	1	30.4666505586398	5.1101520756268	36.4701193115827	1	29.8184438040346	12.7317190487922
ABCA5	1	24.2498663132687	17.0071712127033	8.5312547070342	1	19.053148469093	73.8095082933793	1
ABCA7	13.4161907126893	18.3801206180371	1	1	45.0985341883574	37.9033519976481	1	11.5867157890279
ABCC1	1	1	13.7032520325203	6.37721137817927	1	33.6151242379654	1	1
ABCD1	1	28.9055685476817	1	11.7422924051993	1	19.053148469093	1	1
ABCE1	13.9330831042115	1	36.5624993643802	34.5344413676658	1	1	1	20.0973876673611
ABCF2	13.641947242442	1	22.3675213675214	12.6387337057728	1	15.5619757688724	40.1389432485323	1
ABCF3	5.30811649146993	1	26.6171383647799	19.5269903701412	1	38.8239736523195	70.1329444482923	23.4180057994845
ABHD10	22.2111616779356	42.2304253182168	1	4.81606563632893	1	38.3668922115421	1	10.1610326315982
ABHD11	8.55297339328056	1	24.1605067243394	1	1	1	1	1
ABHD12	20.2165386209809	1	49.1639629304755	16.4583256543192	1	1	1	9.75511079592714
ABHD14A	11.8505764028754	1	75.1700211977186	11.7422924051993	47.3693242551966	1	40.7298371076679	24.105116853867
ABHD15	4.24485690181063	1	33.6092898396633	1	40.8077468929303	22.1255703904005	31.7219662058372	1
ABHD17B	1	1	15.2207053469852	17.8776371308017	1	57.8131165496735	68.6940429242227	32.2665750695642
ABHD5	65.4955710172544	26.3678335870117	1	6.0673963717442	16.7908034360788	61.745388043912	1	1
ABHD8	11.4469753786114	1	16.6818466942667	1	1	1	70.8609094543695	8.35656536676157
ABL1	5.70013160368491	1	1	1	21.8125208125208	1	1	1
ABL2	8.9164027865738	35.3680428962556	17.0071712127033	26.2300165394024	1	1	1	22.0423923448459
ABLIM1	10.7238428626994	1	13.6993802702428	54.4821894172273	1	10.6779188603283	64.1113916061849	10.4934305460621
AC005076.5	1	25.0188307633184	1	1	1	15.5619757688724	1	1
AC005082.12	1	1	1	1	1	12.6680668346868	1	1
AC005306.3	7.48971380362125	1	1	1	16.7908034360788	1	66.4547327222165	1
AC006129.2	1	1	1	5.1101520756268	40.2735890465216	1	1	10.7360555344608
AC006129.4	1	1	1	8.12098554439934	1	1	1	12.7317190487922
AC006369.2	1	1	34.6786096618858	4.81606563632893	33.6280879188374	1	31.7219662058372	1
AC011747.4	11.5196717862403	1	1	1	1	1	1	1
AC013264.2	1	1	1	35.8084920125324	1	1	1	1
AC016831.7	1	23.8060572888159	31.2506299192178	52.7480232761271	30.6912114014252	19.053148469093	1	14.1399138021655
AC017002.1	4.95820139328689	1	11.0692766231674	1	36.1711067180183	1	1	1
AC020571.3	1	1	1	7.48887158523133	1	1	1	1
AC023590.1	37.8722092924355	1	14.3333333333333	23.5452821150144	1	1	1	13.1137236375089
AC062017.1	13.5178539344516	1	1	22.8866272707376	1	1	1	1
AC074117.10	10.3370681605976	1	1	1	22.2152070604209	12.6680668346868	1	1
AC074183.4	1	1	1	4.86249517188103	1	19.053148469093	1	18.7550513120983
AC079210.1	1	1	1	1	1	1	1	17.7319211591875
AC079767.4	13.4161907126893	1	1	1	1	1	1	136.184019485935
AC092580.4	1	1	325.756939030302	51.9242368707653	409.069587391888	16.4549950544016	192.779353757535	1
AC093323.3	1	1	1	4.86249517188103	16.3073720303698	1	1	52.2363402791
AC093818.1	1	1	1	12.6387337057728	1	1	1	1
AC104653.1	1	1	13.7032520325203	1	18.8062678062678	1	1	1
AC104820.2	1	1	14.50183624973	13.5326099203495	40.7748994532975	1	1	1
AC108004.3	1	1	1	1	1	1	28.9642058165548	1
AC147651.3	1	1	1	1	1	41.2936173713703	1	1
AC147651.4	14.5135135135135	1	1	1	20.4825436408978	1	1	1
ACAA2	14.3584646006567	1	57.7960531985446	22.6742190450576	160.03779549658	1	31.7219662058372	23.1005335088734
ACAD9	5.30811649146993	1	27.7458481105002	4.86249517188103	20.4825436408978	1	1	1
ACAT2	8.6057195010648	1	1	32.6949329488867	21.3252032520325	1	1	14.9440842222687
ACER3	109.000838534137	26.1610305958132	1	8.92707094728497	21.8125208125208	34.121485231747	40.1389432485323	11.0695808033511
ACN9	8.20211847680074	16.653861807708	63.8630924580555	42.5562943039119	1	1	1	1
ACO1	1	1	20.917144678139	1	1	23.8049164426697	1	1
ACOT13	1	1	18.9907887161773	35.2487930732932	1	10.6779188603283	32.5556958030925	12.7317190487922
ACOT8	4.24485690181063	1	40.8768054555222	9.88346200807313	1	1	63.2776620089297	52.8320905356358
ACOX3	1	1	1	25.0303369118495	1	1	1	26.6758032710609
ACPL2	10.7238428626994	1	1	1	1	39.9725692791105	1	1
ACRBP	12.1385393979065	55.1107699833448	1	4.81606563632893	16.7908034360788	152.366859530479	1	1
ACSF3	1	1	48.1046957949111	17.9644528085342	1	10.6779188603283	1	11.9192954870552
ACSL1	39.3545972974241	190.106274852174	15.8069177919924	4.81606563632893	1	73.6386194621734	1	8.34748458865109
ACSL4	46.2518416684162	101.912131044021	11.0692766231674	1	1	77.6511410920484	29.5306704707561	12.637108411302
ACSL6	1	1	1	35.4940476406472	1	1	52.2557662737058	12.637108411302
ACSS2	10.0810025426807	1	10.9585723390695	1	1	19.053148469093	1	1
