NAME	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells
A2M.AS1	42.3892476049499	3.03427795026114	8.40622716108501	47.1153133589586	1	1
AAK1	171.246017733296	53.947718927915	245.690249414271	189.969057687924	1	176.336120325505
ABCA1	3.09766739385803	14.2695489569875	1	1	1	1
ABCA2	22.847188843859	2.33134519118117	3.13473599719922	21.4621899688246	1	34.8127783696742
ABCA3	1	1.65371440525063	1	8.15466233571107	1	11.5669149891689
ABCB1	9.68869571554107	1	1	9.46883468834688	1	33.2871322414007
ABCB4	1	1.80717416396936	1	1	7.6934404283802	1
ABCD2	7.80502401824795	1	1	1	1	1
ABCG1	5.37044154088663	6.37695478443388	1	1	13.3590298161594	24.7538319884295
ABHD15	19.7860904223796	2.81028116934611	7.32165263259634	8.93178663493952	11.3801738679123	34.0152626000559
ABHD17C	3.67590030665818	1	1	8.15466233571107	6.19008693395616	1
ABHD8	8.86678201110128	11.7613550135878	6.67433293213217	6.00312695434646	7.17951490807972	47.1822399069946
AC002331.1	12.734316546167	1	1	1	1	1
AC002467.7	1	4.32322482737499	4.3184666029521	7.57064760302776	1	18.9221779714043
AC004069.2	3.14981640567896	4.71321308086496	5.67202432019728	1	7.70465973851828	1
AC004463.6	1	1	1	10.2527480661756	1	13.6449426551851
AC004840.9	6.42372881355932	1	1	1	1	1
AC004893.11	2.99401794616152	2.48987111125017	1	9.26227774472866	1	1
AC005003.1	7.40992112267737	1.35875880932256	1	1	12.1358574610245	13.6449426551851
AC006116.20	3.09093912439833	1.33809323529531	3.53055646936762	14.153166880158	1	1
AC006369.2	21.6371979141677	1	9.02998041238838	15.9263323931747	1	28.0723022728925
AC009120.6	6.60954616700953	1.75095653088121	1	10.176163996403	1	1
AC009961.3	6.66518083355042	1	3.56970319928049	1	1	1
AC010226.4	1	1	3.2989139930297	1	8.3542930685788	1
AC011718.2	9.12267823001927	1.64378773803247	4.4740587026544	9.08427043501459	1	1
AC013264.2	3.6408776164495	1	20.9626365596957	1	1	1
AC016757.3	4.6402819034306	3.68892378514423	1	12.6350419900176	1	12.1590952205595
AC017002.1	3.04798846572896	1.46199875445136	2.96317862177008	26.2394026641253	1	1
AC018816.3	2.87989713202893	2.15615891635537	9.85122573711551	6.71735675162659	1	1
AC020571.3	1	3.70056414785049	5.3306953659241	1	1	1
AC021860.1	3.5688318494048	1	11.2845994767673	1	1	1
AC023590.1	12.2222530558972	9.36413608662172	23.7141757726973	6.83080179355463	35.894148413661	1
AC068620.1	5.85811569066143	1	2.6278744192558	1	1	1
AC074138.3	11.6167128554961	1	1	1	26.1572327044025	1
AC079210.1	1	1	4.933150352979	1	20.6088265479469	1
AC079767.4	1	2.08438346835715	1	1	114.078624373773	1
AC090186.1	12.3715408089388	4.66276235274276	13.5146507518162	24.0069241815114	8.642338555598	1
AC092295.7	8.61896886592693	3.34256231202055	1	7.57064760302776	1	1
AC092580.4	282.19860200427	5.52108329501269	74.2457282601336	286.673021343503	1	124.369037440168
AC092669.3	1	1.59909620346745	7.31782587134793	1	1	1
AC093388.3	1	1	12.3673529664493	1	1	1
AC093391.2	1	1.7107441775837	5.7119988952462	1	8.5258701787394	1
AC104699.1	1	1	1	1	8.5258701787394	1
AC104820.2	15.496790882279	1	5.37184066988935	12.5868142054342	1	1
AC105760.2	4.98791225471586	1	1	1	1	1
AC108004.3	1	1	1	1	1	9.69209975053674
AC109826.1	10.0835834576049	1.32695509337184	6.64685496385655	21.7813126343528	1	1
AC113189.5	5.49688079995421	2.1792633613487	3.06241698771624	17.5131103817634	8.5258701787394	1
AC115618.1	1.79663247520083	1.4535534095424	1	16.6493748082219	18.0068027210884	1
AC131056.3	3.70753235501164	1	1	1	1	16.1171579743008
AC140481.2	5.90282962049806	1	1	8.50469043151971	1	1
AC142528.1	1	3.25426546346262	8.13465648004588	1	12.8518518518518	1
AC147651.3	9.71343858221217	21.2917785254971	4.09994854085422	1	1	1
AC159540.1	28.4981812752106	1.88343358832172	5.54182263525522	1	9.17828664894704	29.122275654546
ACAT2	21.0689245088504	5.30852682567981	20.9804242357747	45.8247942604125	6.52104899930988	1
ACBD4	6.48626375653976	1.37625471541222	7.26662498391242	1	11.1755278555075	1
ACPP	3.54110233019084	18.8081048834148	1	1	1	1
ACRBP	7.13916746075345	95.9066527260468	5.99173286068339	15.5416909804058	12.8063754427391	1
ACSBG1	3.79781322918008	4.86681928755921	1	1	1	16.1171579743008
ACSL1	14.0813270280112	120.950796189868	2.33118568709149	10.775648858693	7.6934404283802	11.612331529237
ACSL6	13.977622130393	7.87582629783455	34.2757688161916	1	18.0068027210884	19.9836171384095
ACSM3	3.10130827453172	1.80717416396936	6.15484616279993	1	1	1
ACTL10	9.72009846528002	1.94132619682566	4.24529918413179	7.68225860340795	1	1
ACTN1	10.1557293935391	86.8646565662172	22.1137297354427	9.15318198309847	1	26.5543316538038
ACVR1B	1.91557652022325	17.5186213346557	1	1	1	1
ACVR1C	1	1	8.64598924535869	1	1	1
ACVR2A	2.87989713202893	2.33134519118117	15.7223337114459	1	1	1
ADA	58.4865828297981	7.23958411834531	23.9920513052927	75.9637570086336	6.19008693395616	126.317883378034
ADAM19	6.64808977985597	22.0052461512165	12.394109094123	1	32.8608669551274	1
ADAM22	1	1	1	6.92859598989768	1	1
ADAM23	1	1	6.7252126916515	1	1	1
ADAM28	3.84117393679784	4.54416694211912	1	1	178.622944093525	9.69209975053674
ADAM9	1	25.429513229363	1	1	1	9.39271176909971
ADAMTS1	1	1	2.83116645303058	10.2527480661756	1	27.2260473075453
ADAMTS10	4.01157650006626	1.7444275872953	3.49847592968289	1	1	16.1171579743008
ADAMTS17	1	1	5.3997343736721	1	1	1
ADAMTSL4	1	16.8579633557088	1	1	1	1
ADAP2	2.43224206036614	35.1065878363385	1	1	14.3868808567604	5.408646237
ADARB1	9.44616756836125	2.60726024501573	18.5711618872102	9.33000133280022	52.7128467754709	1
ADAT1	36.4850668433126	12.1569935293266	7.83112774636532	9.08427043501459	7.18716163959784	15.8683408418454
ADCK2	3.18755195435892	5.80604852758631	9.64009760016115	1	13.9083058428082	40.5160808163646
ADCK3	16.3498457880973	16.1864626992576	8.41549297359138	21.1542202461013	6.52104899930988	64.6267168774748
ADCK5	2.60533742587354	7.88497056745526	2.85482644388964	14.7931379659005	26.1572327044025	1
ADHFE1	15.0571577933178	3.38319193892271	1	13.0803585450416	1	12.6872947418861
ADK	17.487231372665	8.29206341189126	16.1093355765354	6.92571523382873	51.2743230648449	1
ADM	1	14.6258730417945	1	1	1	1
ADORA2A.AS1	11.3298727273898	1	3.2989139930297	1	1	1
ADORA3	1	10.1564237126818	1	1	1	1
ADPRHL2	13.7772407877741	8.81470180366366	7.75353904539872	32.9464417389615	3.97220983801457	51.6260221008679
